"","id","s_g3","r_g3","m_g3","s_g5","r_g5","m_g5","s_g8","r_g8","m_g8","st_g3","rt_g3","mt_g3","st_g5","rt_g5","mt_g5","st_g8","rt_g8","mt_g8"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",8,NA,NA,NA,NA,NA,NA,103.9,204.1,166.67,NA,NA,NA,NA,NA,NA,2.236,1.987,2.041
"4",16,51.57,142.18,115.59,65.94,141.02,133.67,86.9,169.83,156.67,-0.241,1.413,1.601,0.476,1.161,1.512,0.95,1.243,1.704
"5",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",46,72.09,154.43,96.87,79.44,170.57,116.28,89.08,192.07,132.4,0.592,1.639,1.284,1.224,1.599,1.177,1.065,1.586,1.23
"8",62,34.71,106.4,87.86,47.44,145.72,104.68,NA,NA,NA,-0.966,1.127,1.124,-0.485,1.183,1.097,NA,NA,NA
"9",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",74,62.94,126.06,92.47,73.7,145.17,124.73,92.67,193.43,133.93,0.171,1.26,1.222,0.902,1.209,1.377,1.274,1.617,1.256
"11",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",104,70.64,177.93,126.34,73.75,181.97,139.79,98.7,205.78,161.74,0.532,1.985,1.81,0.942,1.779,1.62,1.7,2.092,1.846
"13",109,37.67,148.55,123.14,61.79,153.74,144.3,91.76,194.18,161.08,-0.844,1.6,1.713,0.274,1.355,1.685,1.219,1.634,1.826
"14",117,44.89,91.68,59.16,50.37,129.08,89.53,73.86,144.49,100.7,-0.503,0.834,0.526,-0.317,1.035,0.801,0.351,0.973,0.755
"15",137,51.83,126.17,116.08,NA,NA,NA,NA,NA,NA,-0.243,1.307,1.583,NA,NA,NA,NA,NA,NA
"16",139,49.66,126.11,106.2,63.76,162.55,142.27,90.5,187.13,142.88,-0.321,1.293,1.456,0.374,1.383,1.718,1.145,1.49,1.414
"17",158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",169,65.21,104.73,82.73,80.64,137.23,128.24,78.09,162.72,133.41,0.275,1.003,1.028,1.347,1.095,1.358,0.532,1.16,1.247
"19",178,69.62,162.09,121.41,84.41,183.65,155.22,98.12,180.64,166.85,0.474,1.778,1.691,1.574,1.831,2.033,1.654,1.386,2.05
"20",183,71.19,170.95,110.04,87.26,191.1,137.07,98.63,202.88,162.29,0.533,1.925,1.519,1.694,1.878,1.618,1.695,1.925,1.864
"21",203,35.68,105.29,71.69,54.16,130.09,103.39,NA,NA,NA,-1.059,1.001,0.813,-0.14,1.034,0.946,NA,NA,NA
"22",211,33.16,NA,48.77,36.65,84.23,73.39,NA,NA,NA,-1.294,NA,0.199,-1.087,0.438,0.588,NA,NA,NA
"23",218,44.17,105.35,86.34,NA,NA,NA,NA,NA,NA,-0.544,1.026,1.089,NA,NA,NA,NA,NA,NA
"24",229,38.89,105.32,54.03,44.4,133.37,118.5,96.82,164.55,120.01,-0.783,1.027,0.376,-0.611,1.101,1.25,1.553,1.18,1.032
"25",231,29.86,104.34,73.83,42.85,146.3,115.21,87.84,155.85,139.62,-1.226,0.989,0.862,-0.702,1.212,1.162,0.999,1.086,1.355
"26",251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",260,42.9,NA,58.47,NA,NA,NA,NA,NA,NA,-0.587,NA,0.509,NA,NA,NA,NA,NA,NA
"28",264,46.68,126.42,102.15,58.05,147.58,140.28,70.44,133.12,139.42,-0.441,1.384,1.368,0.05,1.25,1.634,0.212,0.866,1.351
"29",268,45.76,70.28,70.44,59.7,106,80.1,67.08,106.45,93.55,-0.461,0.409,0.795,0.156,0.774,0.621,0.078,0.609,0.658
"30",280,76.09,110.37,110.49,83.13,181.63,141.55,98.57,187.33,157.7,0.672,1.194,1.521,1.383,1.741,1.7,1.69,1.493,1.73
"31",283,75.25,NA,72.12,84.37,122.39,89.02,79.44,181.74,103.63,0.612,NA,0.832,1.493,0.933,0.793,0.592,1.402,0.795
"32",291,53.83,95.78,84.37,NA,NA,NA,NA,NA,NA,-0.117,0.897,1.052,NA,NA,NA,NA,NA,NA
"33",314,77.45,164.46,113.17,79.45,181.31,143.54,104.09,195.89,168.16,0.813,1.787,1.568,1.222,1.72,1.782,2.262,1.678,2.124
"34",323,50.74,162.85,129.98,NA,NA,NA,NA,NA,NA,-0.333,1.753,1.89,NA,NA,NA,NA,NA,NA
"35",326,66.35,168.64,127.23,82.24,182.21,155.97,104.01,205.56,169.19,0.341,1.93,1.795,1.469,1.793,2.033,2.25,2.076,2.195
"36",328,58.12,165.89,123.09,72.96,164.26,119.21,97.85,185.77,156.65,-0.002,1.863,1.709,0.884,1.446,1.268,1.632,1.466,1.704
"37",335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",357,67.04,127.47,112.18,84.19,171.32,134.92,95.78,200.37,155.69,0.404,1.33,1.541,1.465,1.559,1.597,1.478,1.819,1.68
"39",362,51.89,126.27,87.38,71.52,158.42,101.94,91.94,170.2,132.79,-0.289,1.318,1.109,0.81,1.389,1.01,1.229,1.247,1.237
"40",365,56.63,114.74,115.88,68.7,152.24,141.53,96.73,191.37,153,-0.051,1.173,1.63,0.623,1.33,1.701,1.546,1.571,1.618
"41",380,65.66,158.57,126.62,84.01,182.95,139.86,91.37,194.77,160.66,0.298,1.706,1.79,1.531,1.805,1.635,1.195,1.649,1.813
"42",391,60.24,133.42,120.7,NA,NA,NA,NA,NA,NA,0.1,1.397,1.683,NA,NA,NA,NA,NA,NA
